id,region_id,lat,lng,title,geotype_id
303002224,3,50.326394,30.309565,Боярка,2
303002317,3,50.509172,30.799467,Бровари,1
303002345,21,50.082067,25.143684,Броди,2
303002394,23,48.484977,38.678278,Брянка,1
303002642,24,49.262411,24.628810,Бурштин,2
303002643,16,51.195620,33.827369,Буринь,2
303002658,21,49.967533,24.612246,Буськ,2
303002702,3,50.546239,30.224366,Буча,1
303002706,14,49.060236,25.370266,Бучач,2
303002791,1,49.837368,35.617805,Валки,2
303002930,9,47.435297,35.283710,Василівка,2
303002943,3,50.187584,30.331664,Васильків,1
303002985,18,49.011356,31.046072,Ватутіне,1
303002990,23,48.162930,38.800042,Вахрушеве,2
303002994,25,48.374449,25.498178,Вашківці,2
303003211,21,50.237914,24.143678,Великі Мости,2
303003526,12,48.651354,34.319259,Верхньодніпровськ,2
303003631,12,48.485065,34.247954,Верхівцеве,2
303003878,25,48.246398,25.175179,Вижниця,2
303003924,11,45.404804,29.604456,Вилкове,2
303003953,21,49.815265,24.142667,Винники,2
303003955,4,49.234645,28.471035,Вінниця,1
303003986,6,48.149458,23.033388,Виноградів,2
303004100,3,50.386593,30.360639,Вишневе,2
303004153,22,50.844341,24.330907,Володимир-Волинський,1
303004347,19,47.595288,31.313218,Вознесенськ,1
303004449,15,47.597679,37.484635,Волноваха,2
303004495,7,49.536095,26.199962,Волочиськ,2
303004515,1,50.286975,36.949228,Вовчанськ,2
303004570,12,48.479974,34.026786,Вільногірськ,1
303004630,9,47.942860,35.430754,Вільнянськ,2
303004688,16,51.172884,34.236024,Ворожба,2
303004943,3,50.586225,30.485263,Вишгород,2
303005013,2,50.369268,33.981368,Гадяч,2
303005063,17,48.349427,29.854394,Гайворон,2
303005079,4,48.806796,29.382456,Гайсин,2
303005106,24,49.124372,24.731505,Галич,2
303005243,10,46.176310,34.797793,Генічеськ,2
303005272,25,48.146841,26.258642,Герца,2
303005362,21,49.820226,24.506716,Глиняни,2
303005364,2,49.394667,33.258019,Глобине,2
303005418,16,51.672275,33.914171,Глухів,1
303005476,4,49.089549,28.348153,Гнівань,2
303005518,10,46.515215,32.514974,Гола Пристань,2
303005769,15,48.332825,38.088900,Горлівка,1
303005784,15,48.054323,37.367392,Гірник,2
303005802,24,48.675360,25.484611,Городенка,2
303005819,18,49.291349,31.460545,Городище,2
303005867,13,51.890490,31.586313,Городня,2
303005872,7,49.166761,26.583301,Городок,2
303005879,21,49.786983,23.678714,Городок,2
303005895,22,50.500027,24.760081,Горохів,2
303005916,23,48.750085,38.496736,Гірське,2
303006042,2,50.124371,32.440708,Гребінка,2
303006390,9,47.666094,36.265592,Гуляйполе,2
303006669,15,48.338677,38.424687,Дебальцеве,1
303006795,7,49.267895,27.434606,Деражня,2
303006797,1,50.112876,36.102443,Дергачі,2
303006873,8,45.703532,34.391673,Джанкой,1
303006900,15,48.392401,37.859858,Торецьк,1
303007026,15,48.291889,37.265931,Мирноград,1
