"OBJECTNUMB,N,19,11","NAMEOBJECT,C,50","NAMEREGION,C,50","NAMEDISTR,C,50","NAMESETTLE,C,50","XCOORD,N,19,11","YCOORD,N,19,11"
"72255,00000000000","""Утро""",Минская обл.,Смолевичский р-н,д. Заброденье,"54,11198473380","28,22411675150"
"72256,00000000000","""Факел-1988""",Минская обл.,Смолевичский р-н,д. Прилепы,"54,07268741500","27,81097151740"
"72257,00000000000",Фантазия-1,Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98877893150","27,93562292770"
"72258,00000000000","""Химик"" Смолевичского района",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,00613256470","27,98395651280"
"82775,00000000000",Хуторок-1,Минская обл.,Смолевичский р-н,п. Центральный,"54,03501788630","28,29360372840"
"72259,00000000000","""Цветовод-2008""",Минская обл.,Смолевичский р-н,д. Грядки,"54,12265471500","28,26736496450"
"72260,00000000000","""Чабарок-92""",Минская обл.,Смолевичский р-н,п. Центральный,"54,03533736450","28,28276944290"
"72261,00000000000","""Чайка-81""",Минская обл.,Смолевичский р-н,д. Сутоки,"54,19429593680","28,11732462410"
"72262,00000000000",Чайка-89,Минская обл.,Смолевичский р-н,д. Орешники,"53,99237500950","27,95577521040"
"72263,00000000000","""Шеметово-1""",Минская обл.,Смолевичский р-н,д. Шеметово,"53,90102761680","28,05796968340"
"72264,00000000000","""Шипяны""",Минская обл.,Смолевичский р-н,д. Пелика,"53,97631847460","28,28877285240"
"70595,00000000000","""Лесное""",Минская обл.,Минский р-н,д. Липени,"54,08090566100","27,16715463880"
"70604,00000000000","""Мара""",Минская обл.,Минский р-н,д. Селюты,"54,04063603160","27,45594720920"
"70820,00000000000","""Пенсионеров, ветеранов труда и войны""",Минская обл.,Минский р-н,п. Городище,"53,97373337670","27,83454631000"
"72652,00000000000","""Птичь"" д.Заболотье",Минская обл.,Минский р-н,д. Ходаково,"53,79313870950","27,39136369700"
"83563,00000000000","""Роща"" д.Королев Стан",Минская обл.,Минский р-н,д. Королев Стан,"53,97546861370","27,81361169100"
"70681,00000000000","""Ручеёк""",Минская обл.,Минский р-н,д. Саевщина,"54,07933146590","27,37377405890"
"70842,00000000000","""Садовод МСХ и П""",Минская обл.,Минский р-н,д. Ходаково,"53,77882782620","27,38717058550"
"70683,00000000000","""Солнечная поляна Анусино""",Минская обл.,Минский р-н,д. Должаны,"54,03747626440","27,19945745530"
"83578,00000000000","""Спутник"" п.Сосны",Минская обл.,Минский р-н,г. Минск,"53,85973903770","27,80193315520"
