id,region_id,lat,lng,title
100668979,2462,45.780000,21.380000,Remetea Mare
100668983,2476,47.530000,23.550000,Remetea Chioarului
100668986,2501,46.780000,25.450000,Remetea
100668987,2470,46.730000,22.350000,Remetea
100668988,2475,46.570000,24.550000,Remetea
100668995,2475,46.780000,24.720000,Reghin
100669013,2467,47.220000,27.500000,Rediu
100669018,2483,46.750000,26.570000,Rediu
100669022,2465,45.720000,27.830000,Rediu
100669026,2490,44.050000,24.300000,Redea
100669043,2476,47.630000,23.520000,Recea
100669051,2466,45.720000,24.930000,Recea
100669054,2473,44.530000,25.020000,Recea
100669058,2462,45.800000,21.500000,Recaş
100669060,2488,47.280000,24.450000,Rebrişoara
100669064,2491,46.870000,27.550000,Rebricea
100669067,2488,47.320000,24.500000,Rebra
100669072,2487,44.930000,25.530000,Răzvad
100669098,2478,47.570000,27.200000,Răuseni
100669102,2483,47.250000,26.420000,Răuceşti
100669116,2473,44.730000,25.130000,Răteşti
100669126,2494,44.090000,25.660000,Răsuceni
100669128,2463,43.880000,23.280000,Rast
100669148,2464,44.250000,27.930000,Rasova
100669156,2474,45.700000,24.070000,Răşinari
100669186,2488,47.380000,24.180000,Târlișua
100669192,2489,45.440000,21.690000,Ramna
100669241,2467,46.950000,27.930000,Răducăneni
100669244,2492,44.200000,26.520000,Radovanu
100669245,2463,44.170000,23.620000,Radovan
100669253,2490,44.120000,24.680000,Radomireşti
100669288,2478,48.230000,26.800000,Rădăuți-Prut
100669289,2481,47.850000,25.920000,Rădăuţi
100669292,2481,47.470000,26.250000,Rădăşeni
100669320,2462,45.700000,21.640000,Racoviţa
100669321,2480,45.680000,24.350000,Racoviţa
100669339,2471,46.700000,26.750000,Racova
100669344,2497,46.080000,25.530000,Racoșul de Sus
100669348,2482,46.000000,26.880000,Răcoasa
100669364,2471,46.430000,27.370000,Răchitoasa
100669371,2478,47.770000,26.680000,Răchiţi
100669398,2489,44.990000,21.620000,Răcăşdia
100669405,2487,44.630000,25.730000,Răcari
100669408,2471,46.330000,26.980000,Răcăciuni
